,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
120,sofyank96,Sofyank96,2600000.0,4500000.0,565100.0,2500.0,3400.0
121,kooovryt,kika,2500000.0,2900000.0,516200.00000000006,4000.0,6000.0
122,leesiyoung38,이시영,17400000.0,3500000.0,658800.0,3800.0,2800.0
123,jdpantoja,JD Pantoja,30500000.0,4600000.0,751900.0,3500.0,799.0
124,billlnai,nai,8700000.0,3400000.0,934200.0,2600.0,1900.0
125,itssassagurl,Sassa Gurl,6600000.0,3500000.0,565300.0,3100.0,4100.0
126,bargain.bethany,bargainbethany,124800.0,2200000.0,208700.0,1800.0,28300.0
127,terryreloaded,Terry Reloaded,6500000.0,2300000.0,508700.0,2700.0,8700.0
128,gordonramsayofficial,Gordon Ramsay,33800000.0,6400000.0,488100.0,2200.0,2100.0
129,larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,3400000.0,3100000.0,756800.0,3900.0,1800.0
130,aymanehamedi,Weld Mimoune,1100000.0,3400000.0,298500.0,2800.0,9800.0
131,luvadepedreiro,Iran Ferreira (Lai),19400000.0,4200000.0,571700.0,3700.0,1700.0
132,brookemonk_,Brooke Monk,23600000.0,5900000.0,678900.0,1900.0,1400.0
133,parnishacook,Пардаев Алибек,615700.0,3200000.0,183700.0,352.0,21300.0
134,yzn47,عزيز | يزن,7000000.0,7000000.0,249200.0,1200.0,6100.0
135,pimrypie__tiktok,Pimrypie,3300000.0,7700000.0,466300.0,2300.0,1200.0
136,alanthedude,Alan,681800.0,3700000.0,636000.0,3500.0,1800.0
137,daviddobrik,DAVID DOBRIK,26200000.0,4400000.0,440600.0,1700.0,4600.0
138,montanablack,GetOnMyLvL,2500000.0,3400000.0,447500.0,3500.0,4400.0
139,vhackerr,Vinnie,14900000.0,3300000.0,487100.0,4600.0,2700.0
140,cellat36,cellat36,8600000.0,5400000.0,307500.0,5200.0,1900.0
141,thebenjishow,benji,5900000.0,3300000.0,643800.0,2200.0,3200.0
142,seventeen17_official,SEVENTEEN,6000000.0,1900000.0,595100.0,5300.0,4900.0
